Name Raw,Name,Population,Weekly Household Equivalised Income,Product,Multiple of Average,GDP/head,Airports,States,Countries,Fractions
62410: Glamorgan-Spring Bay,Glamorgan-Spring Bay,5187,703,3646461,0.64,42.89,Hobart,TAS,Australia,1
22310: Glen Eira,Glen Eira,151694,1379,209186026,1.26,84.13,Melbourne,VIC,Australia,1
13010: Glen Innes Severn,Glen Innes Severn,8945,637,5697965,0.58,38.86,Armidale,NSW,Australia,1
22410: Glenelg,Glenelg,20041,805,16133005,0.73,49.11,Mount Gambier,SA,Australia,1
62610: Glenorchy,Glenorchy,51009,853,43510677,0.78,52.04,Hobart,TAS,Australia,1
53640: Gnowangerup,Gnowangerup,1262,1009,1273358,0.92,61.56,Albany,WA,Australia,1
33430: Gold Coast,Gold Coast,647078,1034,669078652,0.94,63.08,Gold Coast,QLD,Australia,1
22490: Golden Plains,Golden Plains,25312,1049,26552288,0.96,64.00,Ballarat,VIC,Australia,1
53710: Goomalling,Goomalling,984,817,803928,0.74,49.84,Perth,WA,Australia,1
33610: Goondiwindi,Goondiwindi,10410,893,9296130,0.81,54.48,"Toowoomba,Roma",QLD,Australia,"0.8,0.2"
53780: Gosnells,Gosnells,132915,967,128528805,0.88,58.99,Perth,WA,Australia,1
13310: Goulburn Mulwaree,Goulburn Mulwaree,32428,950,30806600,0.87,57.96,Goulburn,NSW,Australia,1
42110: Goyder,Goyder,4144,626,2594144,0.57,38.19,"Adelaide,Port Augusta",SA,Australia,"0.5,0.5"
42250: Grant,Grant,8927,993,8864511,0.90,60.58,Mount Gambier,SA,Australia,1
22620: Greater Bendigo,Greater Bendigo,122647,931,114184357,0.85,56.80,Bendigo,VIC,Australia,1
22670: Greater Dandenong,Greater Dandenong,159151,834,132731934,0.76,50.88,Melbourne,VIC,Australia,1
22750: Greater Geelong,Greater Geelong,276446,1009,278934014,0.92,61.56,Melbourne,VIC,Australia,1
53800: Greater Geraldton,Greater Geraldton,41495,989,41038555,0.90,60.34,Geraldton,WA,Australia,1
13340: Greater Hume Shire,Greater Hume Shire,11267,890,10027630,0.81,54.30,"Albury-Wodonga,Griffith",NSW,Australia,1
22830: Greater Shepparton,Greater Shepparton,68925,885,60998625,0.81,53.99,Shepparton,VIC,Australia,1
13450: Griffith,Griffith,27014,1022,27608308,0.93,62.35,Griffith,NSW,Australia,1
13550: Gunnedah,Gunnedah,13144,980,12881120,0.89,59.79,"Tamworth,Narrabri",NSW,Australia,"0.5,0.5"
13660: Gwydir,Gwydir,4924,668,3289232,0.61,40.75,Narrabri,NSW,Australia,1
33620: Gympie,Gympie,55112,705,38853960,0.64,43.01,Sunshine Coast,QLD,Australia,1
53920: Halls Creek,Halls Creek,4110,519,2133090,0.47,31.66,Halls Creek,WA,Australia,1
53990: Harvey,Harvey,30147,1043,31443321,0.95,63.63,Bunbury,WA,Australia,1
13800: Hawkesbury,Hawkesbury,67862,1137,77159094,1.04,69.37,Sydney,NSW,Australia,1
13850: Hay,Hay,2834,804,2278536,0.73,49.05,Griffith,NSW,Australia,1
22910: Hepburn,Hepburn,16567,847,14032249,0.77,51.67,Ballarat,VIC,Australia,1
13910: Hilltops,Hilltops,19239,774,14890986,0.70,47.22,"Wagga Wagga,Canberra,Parkes,Bathurst","NSW,ACT,NSW,NSW",Australia,"0.3,0.3,0.2,0.2"
33800: Hinchinbrook,Hinchinbrook,11089,781,8660509,0.71,47.65,Townsville,QLD,Australia,1
22980: Hindmarsh,Hindmarsh,5599,764,4277636,0.70,46.61,Horsham,VIC,Australia,1
62810: Hobart,Hobart,55981,1194,66841314,1.09,72.84,Hobart,TAS,Australia,1
23110: Hobsons Bay,Hobsons Bay,91803,1220,111999660,1.11,74.43,Melbourne,VIC,Australia,1
42600: Holdfast Bay,Holdfast Bay,38052,1130,42998760,1.03,68.94,Adelaide,SA,Australia,1
33830: Hope Vale,Hope Vale,1004,457,458828,0.42,27.88,Cairns,QLD,Australia,1
14000: Hornsby,Hornsby,151747,1391,211080077,1.27,84.86,Sydney,NSW,Australia,1
23190: Horsham,Horsham,20337,910,18506670,0.83,55.52,Horsham,VIC,Australia,1
23270: Hume,Hume,252987,930,235277910,0.85,56.74,Melbourne,VIC,Australia,1
14100: Hunters Hill,Hunters Hill,13924,1797,25021428,1.64,109.63,Sydney,NSW,Australia,1
63010: Huon Valley,Huon Valley,19214,775,14890850,0.71,47.28,Hobart,TAS,Australia,1
23350: Indigo,Indigo,17418,970,16895460,0.88,59.18,Albury-Wodonga,NSW,Australia,1
14170: Inner West,Inner West,183105,1610,294799050,1.47,98.22,Sydney,NSW,Australia,1
14220: Inverell,Inverell,17966,744,13366704,0.68,45.39,Armidale,NSW,Australia,1
33960: Ipswich,Ipswich,242653,987,239498511,0.90,60.21,Brisbane,QLD,Australia,1
54060: Irwin,Irwin,3794,801,3038994,0.73,48.87,Geraldton,WA,Australia,1
33980: Isaac,Isaac,22746,1568,35665728,1.43,95.66,"Mackay,Emerald",QLD,Australia,"0.5,0.5"
54130: Jerramungup,Jerramungup,1196,929,1111084,0.85,56.68,Albany,WA,Australia,1
54170: Joondalup,Joondalup,165509,1262,208872358,1.15,76.99,Perth,WA,Australia,1
14300: Junee,Junee,6465,896,5792640,0.82,54.66,Wagga Wagga,NSW,Australia,1
54200: Kalamunda,Kalamunda,61256,1110,67994160,1.01,67.72,Perth,WA,Australia,1
54280: Kalgoorlie-Boulder,Kalgoorlie-Boulder,30726,1528,46949328,1.39,93.22,Kalgoorie,WA,Australia,1
42750: Kangaroo Island,Kangaroo Island,5088,782,3978816,0.71,47.71,Kingscote,WA,Australia,1
43080: Karoonda East Murray,Karoonda East Murray,1027,593,609011,0.54,36.18,Adelaide,SA,Australia,1
54310: Karratha,Karratha,23787,1892,45005004,1.72,115.43,Karratha,WA,Australia,1
54340: Katanning,Katanning,4233,861,3644613,0.78,52.53,Albany,WA,Australia,1
72200: Katherine,Katherine,10836,1321,14314356,1.20,80.59,Katherine,NT,Australia,1
54410: Kellerberrin,Kellerberrin,1180,732,863760,0.67,44.66,Perth,WA,Australia,1
14350: Kempsey,Kempsey,31180,699,21794820,0.64,42.64,Port Macquarie,NSW,Australia,1
54480: Kent,Kent,510,1143,582930,1.04,69.73,Albany,WA,Australia,1
63210: Kentish,Kentish,6805,760,5171800,0.69,46.37,Launceston,TAS,Australia,1
14400: Kiama,Kiama,22964,1116,25627824,1.02,68.08,Wollongong,NSW,Australia,1
43220: Kimba,Kimba,1059,835,884265,0.76,50.94,Port Augusta,SA,Australia,1
